"Region","Year","Population age 15 to 24","Population age 15 to 19","Population coverage (age 15 to 24)","Population coverage (age 15 to 19)","X10q15","X5q15","X5q20","Deaths.age.15to24.median","Deaths.age.15to19.median","Deaths.age.20to24.median"
"Sub-Saharan Africa",1992,52434522,28440266,100,100,39.4689829075717,16.5721725690905,23.2826545068349,208085,95047,113038
"Europe and Central Asia",1992,64919707,32238381,100,100,15.9907026539204,6.35464143461836,9.69768654000908,104755,41114,63641
"Middle East and North Africa",1992,27064186,14420718,100,100,15.54896943961,7.1783610245053,8.43113011088531,42191,20779,21412
"Latin America and Caribbean",1992,44693910,23614883,100,100,20.1398261105851,7.91187258772349,12.3254710796272,89799,37517,52282
"East Asia and Pacific",1992,189093684,90145942,100,100,12.5888755181407,6.51020369678089,6.11850453218397,239192,117752,121440
"North America",1992,20755564,9848654,100,100,13.9636827349663,6.05604062087348,7.9558229007522,29384,11964,17420
"Eastern and Southern Africa",1992,27983097,14968623,100,100,42.72936903667,17.4069011911255,25.7710621784756,120515,52567,67948
"Eastern Europe and Central Asia",1992,31660898,16326397,100,100,22.1650584771905,8.55850147122305,13.7240139999774,70411,28079,42332
"Western Europe",1992,33258809,15911984,99.99,99.99,10.1876805331746,4.08816615140177,6.12455257028321,34342,13035,21307
"West and Central Africa",1992,24451425,13471643,100,100,35.650879240284,15.6438634458126,20.3249769585503,87571,42480,45091
"World",1992,517036932,261433966,100,100,18.4536310139247,8.37075845518824,10.1679863161648,961908,439521,522387
"South Asia",1993,120604239,63995838,100,100,20.4821169362243,8.94028397127069,11.6459510746767,247571,114944,132627
"Sub-Saharan Africa",1993,53902660,29309504,100,100,40.0027743626091,16.8623680884141,23.5373009058777,216817,99681,117136
"Europe and Central Asia",1993,64627554,32113732,100,100,16.3732800501162,6.49463176347348,9.94322587725644,106778,41863,64915
"Middle East and North Africa",1993,27815027,14868688,100,100,15.0924619689915,6.96417708003603,8.18528868883568,42082,20791,21291
"Latin America and Caribbean",1993,45393256,23961320,100,100,20.0318102759859,7.87805077531863,12.2502677318701,90737,37905,52832
"East Asia and Pacific",1993,185902020,86754760,100,100,12.4559041979686,6.38868536561903,6.10622961211159,232640,111204,121436
"North America",1993,20769816,9958791,100,100,13.8997058001598,6.01721310379925,7.93021046267239,29227,12020,17207
"Eastern and Southern Africa",1993,28574214,15342461,100,100,44.3104401297041,18.2136221954438,26.5809533766573,127673,56396,71277
"Eastern Europe and Central Asia",1993,31826152,16429387,100,100,23.1954823869138,8.94402866791295,14.3800694726104,74075,29537,44538
"Western Europe",1993,32801402,15684345,99.99,99.99,9.83399649386662,3.92225178680094,5.93502336305622,32701,12326,20375
"West and Central Africa",1993,25328446,13967043,100,100,35.0494375607412,15.3759225500245,19.9807372796204,89144,43284,45860
"World",1993,519014572,260962633,100,100,18.4488463112333,8.36432443367308,10.169583573928,965865,438404,527461
"South Asia",1994,123357718,65353513,100,100,20.0579145341764,8.77584489444436,11.3819559194768,248012,115214,132798
"Sub-Saharan Africa",1994,55546788,30344198,100,100,59.6537535824814,24.125579205503,36.4065023325989,333209,148206,185003
"Europe and Central Asia",1994,64407259,32087501,100,100,15.8617546990201,6.27246845532756,9.64981440011706,103034,40379,62655
"Middle East and North Africa",1994,28570788,15370414,100,100,14.9003133437771,6.84326808860153,8.11256168970344,42633,21120,21513
"Latin America and Caribbean",1994,46085955,24308288,100,100,20.0213574645863,7.87869396884594,12.2390915525396,92087,38452,53635
"East Asia and Pacific",1994,182197199,84313341,100,100,12.3410827448593,6.27952136312109,6.09986561819995,225978,106219,119759
"North America",1994,20808313,10158527,100,100,13.7471029908928,5.95405207030286,7.83972907572381,28891,12132,16759
"Eastern and Southern Africa",1994,29299310,15876508,100,100,81.4437993571587,32.2275027192963,50.8552338242231,242126,104015,138111
"Eastern Europe and Central Asia",1994,32028668,16564299,100,100,22.3246466562085,8.58245314973927,13.8611562304179,71707,28555,43152
"Western Europe",1994,32378591,15523202,99.99,99.99,9.54955583424355,3.80148897224186,5.77000145891762,31324,11824,19500
"West and Central Africa",1994,26247478,14467690,100,100,34.5384634339217,15.1575900275583,19.6791620772157,91016,44192,46824
"World",1994,520974020,261935782,100,100,20.4503258633344,9.15320059984927,11.4014853459933,1073717,481724,591993
"South Asia",1995,126240981,66863451,100,100,19.7014864792086,8.60535320368215,11.1924482458962,249243,115579,133664
"Sub-Saharan Africa",1995,57407535,31451115,100,100,38.2116501265776,16.2275662687383,22.3467166837129,220226,102910,117316
"Europe and Central Asia",1995,64252127,32091602,100,100,16.3013185203253,6.259287720425,10.1052826716384,105595,40304,65291
"Middle East and North Africa",1995,29552321,15954551,100,100,14.4195485222005,6.65207231714977,7.81949203152777,42661,21305,21356
"Latin America and Caribbean",1995,46796391,24672769,100,100,19.9181723976197,7.8343396967351,12.1792490753924,93025,38808,54217
"East Asia and Pacific",1995,178910105,83463804,100,100,12.1804624868213,6.14254972358526,6.07523016661663,219168,102851,116317
"North America",1995,20892491,10430373,100,100,13.2925895720388,5.67444679162878,7.66161822536774,27960,11871,16089
"Eastern and Southern Africa",1995,30073754,16430382,100,100,41.7258136842584,17.3579713011697,24.7982903961023,126051,57539,68512
"Eastern Europe and Central Asia",1995,32254907,16674911,100,100,23.3961397882616,8.64051610581036,14.8842311211763,75639,28942,46697
"Western Europe",1995,31997220,15416691,99.99,99.99,9.24995160699138,3.67713260579332,5.59338662553562,29955,11360,18595
"West and Central Africa",1995,27333781,15020733,100,100,34.3186092596457,14.9895991918415,19.6231532702045,94175,45371,48804
"World",1995,524051951,264927665,100,100,18.1340890082389,8.15031084857097,10.0658177028915,957887,433627,524260
"South Asia",1996,129216040,68488841,100,100,19.2737495279817,8.34631590577062,11.0194050579181,249385,114807,134578
"Sub-Saharan Africa",1996,59293742,32609357,100,100,38.4043832942149,16.3134216030435,22.4573173776261,228482,107268,121214
"Europe and Central Asia",1996,64161039,32143108,100,100,15.0408767527667,5.79609131133216,9.29868144818309,97189,37369,59820
"Middle East and North Africa",1996,30533700,16517627,100,100,14.1053393354935,6.4955100179242,7.65958221055102,43101,21537,21564
"Latin America and Caribbean",1996,47477762,25020685,100,100,19.8402032615267,7.81068907300742,12.1242126437345,94022,39235,54787
"East Asia and Pacific",1996,176226782,83979632,100,100,12.0087762449623,5.98651865986487,6.05852707045607,212950,100849,112101
"North America",1996,21009905,10709018,100,100,12.7292113834322,5.39208163034198,7.37690663585008,26830,11579,15251
"Eastern and Southern Africa",1996,31069427,17114242,100,100,41.0918821034185,17.2331101748049,24.2771426018,128090,59499,68591
"Eastern Europe and Central Asia",1996,32526655,16791149,100,100,20.9502543415894,7.81632397974756,13.2373981544661,68290,26351,41939
"Western Europe",1996,31634384,15351959,99.99,99.99,9.03914901000413,3.58162649019852,5.47713958804462,28898,11017,17881
"West and Central Africa",1996,28224315,15495115,100,100,35.4420594059758,15.296640182804,20.4583634475581,100393,47769,52624
"World",1996,527918970,269468268,100,100,17.9123231261306,7.99559836987225,9.99665398657757,951963,432645,519318
"South Asia",1997,132219558,70200854,100,100,18.8956108391777,8.09153315272826,10.8922123840616,249915,114070,135845
"Sub-Saharan Africa",1997,61127180,33715225,100,100,36.9429123362337,15.8618180416484,21.4208682084011,226520,107810,118710
"Europe and Central Asia",1997,64114610,32245971,100,100,14.7926997556003,5.62548031939294,9.21908119603859,95410,36386,59024
"Middle East and North Africa",1997,31685967,17152172,100,100,13.7931163802842,6.33272435382485,7.50793772654738,43715,21800,21915
"Latin America and Caribbean",1997,48155366,25367565,100,100,19.702499872927,7.74028319387846,12.0555298944842,94694,39422,55272
"East Asia and Pacific",1997,174798377,85900132,100,100,11.7667081745697,5.78837028058369,6.01314419916128,206954,99735,107219
"North America",1997,21246415,10962126,100,100,12.079498903522,5.09139882076634,7.02386136221246,25686,11190,14496
"Eastern and Southern Africa",1997,32102487,17790203,100,100,40.5717089761352,17.0634811937086,23.916323519016,130524,61235,69289
"Eastern Europe and Central Asia",1997,32822177,16948566,100,100,20.4652583561927,7.52150795066182,13.0418447444677,67270,25594,41676
"Western Europe",1997,31292433,15297405,99.99,99.99,8.91189973419038,3.52044210670643,5.41050499709428,28138,10791,17347
"West and Central Africa",1997,29024693,15925022,100,100,32.933592834049,14.5176894541019,18.6871983219523,95996,46575,49421
"World",1997,533347473,275544045,100,100,17.5933173609561,7.77967084871144,9.89059206299373,942896,430412,512484
"South Asia",1998,135238662,71988316,100,100,18.7513379618475,7.9620429166102,10.8758893429422,253427,115094,138333
"Sub-Saharan Africa",1998,63067052,34807434,100,100,36.1323370102984,15.5372199506576,20.9201581583496,228501,109010,119491
"Europe and Central Asia",1998,64229545,32447149,100,100,14.7543105992111,5.52388404057311,9.28169757976823,95224,35949,59275
"Middle East and North Africa",1998,32894895,17754707,100,100,13.4948608770028,6.16941006318234,7.37092507314167,44387,21976,22411
"Latin America and Caribbean",1998,48837625,25712121,100,100,19.7045872320128,7.7585244542868,12.0394713103037,96075,40057,56018
"East Asia and Pacific",1998,173546230,87980878,100,100,11.5221178951586,5.58969959245285,5.96576513766441,201023,98636,102387
"North America",1998,21573146,11157902,100,100,11.7040566759378,4.87030134939309,6.86720066320108,25247,10893,14354
"Eastern and Southern Africa",1998,33167625,18426876,100,100,39.5078131993438,16.6290205389043,23.2656780994062,131201,61800,69401
"Eastern Europe and Central Asia",1998,33218659,17221420,100,100,20.4614358267519,7.35493840463269,13.203609154167,67954,25425,42529
"Western Europe",1998,31010886,15225729,99.99,99.99,8.72137275394302,3.44862665877254,5.29099275383267,27268,10523,16745
"West and Central Africa",1998,29899427,16380558,100,100,32.4012464800627,14.3075901870497,18.3562905759278,97301,47210,50091
"World",1998,539387155,281848507,100,100,17.4482998032295,7.62747605109782,9.89630760135524,943885,431615,512270
"South Asia",1999,138298873,73771351,100,100,18.3248543659377,7.70598837585114,10.7013303171164,252985,114136,138849
"Sub-Saharan Africa",1999,65106241,35859010,100,100,36.5788965206482,15.5591431306415,21.3519717749749,238698,112444,126254
"Europe and Central Asia",1999,64392171,32635088,100,100,14.9687533989682,5.58891452707088,9.43255662464411,96783,36589,60194
"Middle East and North Africa",1999,34025340,18253037,100,100,13.2136838281532,6.01890924495885,7.23834150378977,44964,22043,22921
"Latin America and Caribbean",1999,49522418,26039070,100,100,19.565237950439,7.65252494492443,12.0045783407202,96721,40007,56714
"East Asia and Pacific",1999,172580905,89340268,100,100,11.289970458271,5.4041908801477,5.91776028428247,195633,96824,98809
"North America",1999,21912605,11286168,100,100,11.2686200721847,4.65811516457149,6.64144150701164,24702,10538,14164
"Eastern and Southern Africa",1999,34265541,19013843,100,100,40.9001390160109,16.8062818132782,24.5057070209605,140127,64437,75690
"Eastern Europe and Central Asia",1999,33634293,17519750,100,100,20.9201607566973,7.49304759253789,13.5284827291034,70265,26359,43906
"Western Europe",1999,30757878,15115338,99.99,99.99,8.55468632368328,3.37717763723194,5.19505330429494,26516,10228,16288
"West and Central Africa",1999,30840700,16845167,100,100,31.7999188698992,14.1495598753023,17.9036883042466,98571,48007,50564
"World",1999,545838553,287183992,100,100,17.3900997593431,7.50328478803046,9.96155938833627,950485,432576,517909
"South Asia",2000,141404006,75436046,100,100,17.9130072270613,7.47006771107095,10.521536103105,252676,113125,139551
"Sub-Saharan Africa",2000,67203158,36888174,100,100,34.515480946668,14.9514274686931,19.8610038362886,232766,111137,121629
"Europe and Central Asia",2000,64583207,32775459,100,100,14.7665328072799,5.44215145149954,9.37540372275861,95698,35770,59928
"Middle East and North Africa",2000,35067478,18685639,100,100,12.9474505904678,5.87411935899983,7.11512633280124,45421,22018,23403
"Latin America and Caribbean",2000,50199196,26348609,100,100,19.6291763366815,7.65712532316789,12.0644298649421,98400,40505,57895
"East Asia and Pacific",2000,173172819,90654639,100,100,11.0663612066173,5.23376550763367,5.86328274598102,192197,95139,97058
"North America",2000,22288766,11391154,100,100,11.1875615730532,4.58994163841691,6.62804226179496,24975,10484,14491
"Eastern and Southern Africa",2000,35460612,19610502,100,100,37.6265594019819,15.8191622797553,22.1579168039292,133570,62540,71030
"Eastern Europe and Central Asia",2000,34047478,17797393,100,100,20.6641595212661,7.2678198326386,13.4944146631462,70126,25963,44163
"Western Europe",2000,30535729,14978066,99.99,99.99,8.30630710772995,3.26833155373802,5.05449532053631,25570,9806,15764
"West and Central Africa",2000,31742546,17277672,100,100,31.0614677527856,13.9656111123021,17.337992298391,99195,48596,50599
"World",2000,553918630,292179720,100,100,16.9990251942871,7.3005845180331,9.76976567629518,942130,428176,513954
"South Asia",2001,144556733,76975903,100,100,17.5469685807067,7.32982086027578,10.2925905654639,253093,113258,139835
"Sub-Saharan Africa",2001,69320470,37907034,100,100,33.6941445534302,14.6542653941932,19.323044176828,234516,111924,122592
"Europe and Central Asia",2001,64900013,32942665,100,100,14.3017379482832,5.25577446390586,9.09375822664581,93106,34720,58386
"Middle East and North Africa",2001,36034317,19082263,100,100,12.7751262900556,5.76722664380329,7.04855023295603,46061,22073,23988
"Latin America and Caribbean",2001,50784034,26582505,100,100,19.6485080197357,7.64059289591812,12.1003691181397,99696,40774,58922
"East Asia and Pacific",2001,175309967,92141180,100,100,10.8598413825871,5.07407047363404,5.81527803954948,190757,93743,97014
"North America",2001,22716978,11511519,100,100,11.2322535505898,4.56583842808272,6.69699250825383,25593,10541,15052
"Eastern and Southern Africa",2001,36665953,20197091,100,100,36.6718521029787,15.4127361839321,21.5919062741584,134645,62745,71900
"Eastern Europe and Central Asia",2001,34519316,18109468,100,100,19.9197121257814,6.96811269908412,13.0424809035086,68416,25328,43088
"Western Europe",2001,30380697,14833197,99.99,99.99,8.05423789778859,3.16108664642162,4.90866797615812,24689,9391,15298
"West and Central Africa",2001,32654517,17709943,100,100,30.37342221373,13.7885686266857,16.8167322538024,99872,49180,50692
"World",2001,563622512,297143069,100,100,16.7221214649642,7.15986308596967,9.63121657099411,942825,427034,515791
"South Asia",2002,147737010,78480880,100,100,17.3029552616176,7.21139906480531,10.1648590518729,255081,113593,141488
"Sub-Saharan Africa",2002,71442402,38934103,100,100,32.9613913126372,14.3966571328566,18.8359082932647,236551,112918,123633
"Europe and Central Asia",2002,65256504,33121758,100,100,13.7217486901552,5.02632265250938,8.73935284481799,89804,33384,56420
"Middle East and North Africa",2002,36857357,19397783,100,100,12.656149732024,5.67957925105275,7.01642079895764,46692,22096,24596
"Latin America and Caribbean",2002,51346712,26792219,100,100,19.5257440317045,7.59583007761683,12.0212251375573,100245,40856,59389
"East Asia and Pacific",2002,178834032,93737940,100,100,10.6328422867551,4.91497888915177,5.74610538426175,190446,92370,98076
"North America",2002,23126776,11642995,100,100,11.1751531553149,4.48019497589153,6.72508788437535,25946,10460,15486
"Eastern and Southern Africa",2002,37891546,20793994,100,100,35.7281447219793,15.0491752521693,20.9949257873907,135619,63062,72557
"Eastern Europe and Central Asia",2002,35042600,18419626,100,100,18.9943107543468,6.60932810521204,12.4673836784793,66145,24428,41717
"Western Europe",2002,30213904,14702132,99.99,99.99,7.75341484466829,3.0393594673874,4.72842676593779,23656,8956,14700
"West and Central Africa",2002,33550856,18140109,100,100,29.8588934433209,13.6481481349675,16.4350533510953,100931,49857,51074
"World",2002,574600793,302107678,100,100,16.4339406560323,7.02043058801465,9.48006420070871,944760,425676,519084
"South Asia",2003,150815963,79869091,100,100,16.9347007394705,7.07562329562728,9.92933366845787,255017,113426,141591
"Sub-Saharan Africa",2003,73564096,39966615,100,100,32.3302091639611,14.1384745184983,18.4526266369689,238977,113825,125152
"Europe and Central Asia",2003,65601202,33158129,100,100,13.1165344617707,4.76422358582976,8.39229363923629,86344,31667,54677
"Middle East and North Africa",2003,37434743,19589293,100,100,13.0944212394628,5.88432958394161,7.25276934071824,49103,23118,25985
"Latin America and Caribbean",2003,51864248,26973825,100,100,19.2463686691438,7.47846773405715,11.8565699105996,99869,40497,59372
"East Asia and Pacific",2003,182747224,95614264,100,100,10.3980043360853,4.74975049137315,5.67520967465292,190227,91046,99181
"North America",2003,23444124,11785850,100,100,11.1420429466093,4.45261964431108,6.71934197637903,26232,10522,15710
"Eastern and Southern Africa",2003,39106105,21398890,100,100,34.7688404301075,14.7070062327749,20.3612877836745,136267,63413,72854
"Eastern Europe and Central Asia",2003,35471621,18516351,100,100,18.0450219560982,6.23282701910323,11.8862800645379,63695,23153,40542
"Western Europe",2003,30129581,14641778,99.99,99.99,7.44341419431627,2.90375899189127,4.55287565605025,22647,8514,14133
"West and Central Africa",2003,34457991,18567725,100,100,29.5841736129321,13.4828503487597,16.3213820153706,102710,50412,52298
"World",2003,585471600,306957067,100,100,16.1418888768491,6.88429546376379,9.32176721282277,945776,424101,521675
"South Asia",2004,153732476,81115833,100,100,16.7885608065139,7.09474600918003,9.7630813799919,257995,115507,142488
"Sub-Saharan Africa",2004,75640585,40986057,100,100,31.7100781607135,13.8895730244072,18.0715107038893,241050,114654,126396
"Europe and Central Asia",2004,65688809,33015657,100,100,12.5989242895634,4.52621373441887,8.1094155029723,83150,29948,53202
"Middle East and North Africa",2004,38030816,19765167,100,100,12.47384773574,5.55292159810521,6.95957209583942,47533,22014,25519
"Latin America and Caribbean",2004,52324449,27132780,100,100,18.8922290898863,7.34976122134814,11.6279303803321,98955,40030,58925
"East Asia and Pacific",2004,186194163,97803616,100,100,10.6367292691929,4.79932062868611,5.86555934044823,198129,94118,104011
"North America",2004,23719311,11941575,100,100,11.2088258173442,4.38717887603243,6.85170660378863,26693,10503,16190
"Eastern and Southern Africa",2004,40290192,21983912,100,100,34.0664121970334,14.452493628107,19.901545528872,137612,64011,73601
"Eastern Europe and Central Asia",2004,35629106,18388273,100,100,17.3011706803226,5.92639247043432,11.4425914979841,61533,21853,39680
"Western Europe",2004,30059703,14627384,99.99,99.99,7.1231488205018,2.76310916759612,4.37212029858449,21615,8095,13520
"West and Central Africa",2004,35350393,19002145,100,100,29.0441468775811,13.237922013492,16.0182735197341,103438,50642,52796
"World",2004,595330609,311760685,100,100,16.0024528155129,6.82108095264015,9.24442886049118,953506,426774,526732
"South Asia",2005,156380675,82211608,100,100,16.7711175897449,7.16301921526567,9.67741790488622,262450,118202,144248
"Sub-Saharan Africa",2005,77660111,41982079,100,100,31.1815860178606,13.6502735359815,17.7739315087838,243379,115405,127974
"Europe and Central Asia",2005,65572762,32789229,100,100,12.1319354447379,4.3497166065138,7.8162171678391,80035,28585,51450
"Middle East and North Africa",2005,38606781,19917475,100,100,12.4104604104438,5.51057566389394,6.93811776948365,48064,22023,26041
"Latin America and Caribbean",2005,52770985,27288852,100,100,18.6252374993853,7.2507650162281,11.4575484748101,98443,39718,58725
"East Asia and Pacific",2005,189619205,99970577,100,100,9.88653778328852,4.4024360861643,5.50835186414628,187253,88216,99037
"North America",2005,24007610,12131175,100,100,11.3334874861232,4.40821855782286,6.95593219770119,27295,10721,16574
"Eastern and Southern Africa",2005,41385430,22506174,100,100,33.4593357655784,14.1834434817273,19.5532243361079,138866,64302,74564
"Eastern Europe and Central Asia",2005,35599203,18158317,100,100,16.6141238791415,5.70283470148282,10.9738713520146,59261,20767,38494
"Western Europe",2005,29973559,14630912,99.99,99.99,6.87072067897121,2.66769151164862,4.2142715437477,20772,7818,12954
"West and Central Africa",2005,36274681,19475905,100,100,28.5987007103676,13.0337906288928,15.7704589414392,104513,51104,53409
"World",2005,604618129,316290995,100,100,15.6484290257378,6.66229620422208,9.04640263545579,946920,422869,524051
"South Asia",2006,158782887,83180523,100,100,16.2861125095022,6.98085428786131,9.3706735281198,258892,116539,142353
"Sub-Saharan Africa",2006,79621701,42944783,100,100,30.5654287079842,13.398812631452,17.3997520946826,244613,115855,128758
"Europe and Central Asia",2006,65305393,32413624,100,100,11.7349096224804,4.20601930113825,7.56069073249288,77249,27317,49932
"Middle East and North Africa",2006,39442056,20125914,100,100,12.4543533109972,5.50505156613019,6.98776977782607,49328,22232,27096
"Latin America and Caribbean",2006,53142590,27413289,100,100,18.4961897321664,7.22376495636382,11.3544466294634,98500,39743,58757
"East Asia and Pacific",2006,191575939,100428214,100,100,9.66237657180913,4.26498323765406,5.42051172580511,184926,85843,99083
"North America",2006,24251322,12303966,100,100,11.2868217662427,4.32581093140694,6.99125367641355,27425,10668,16757
"Eastern and Southern Africa",2006,42426522,22973589,100,100,32.793149696339,13.8816371064105,19.1777308906774,139564,64227,75337
"Eastern Europe and Central Asia",2006,35425227,17772406,100,100,16.0580578558505,5.55664005019436,10.5600964605828,57288,19796,37492
"Western Europe",2006,29880166,14641218,99.99,99.99,6.62812388292755,2.56396971411823,4.07460132319919,19960,7521,12439
"West and Central Africa",2006,37195179,19971194,100,100,28.033327769508,12.8431117016394,15.3878438654803,105049,51628,53421
"World",2006,612121888,318810313,100,100,15.3508283028221,6.53745218421102,8.87137229077035,940936,418198,522738
"South Asia",2007,160945876,84064041,100,100,16.0997077322661,6.90708875591862,9.25655482207767,259520,116529,142991
"Sub-Saharan Africa",2007,81624046,43922594,100,100,30.0468871248987,13.1730337913207,17.099100360427,246530,116484,130046
"Europe and Central Asia",2007,64889512,31833245,100,100,11.2288646326929,3.99081019466557,7.26705587871332,73692,25458,48234
"Middle East and North Africa",2007,40338481,20307102,100,100,12.2600927364592,5.44847607555714,6.84893290799453,49748,22200,27548
"Latin America and Caribbean",2007,53444069,27502228,100,100,18.6115858959975,7.29885411214731,11.3959088600954,99757,40292,59465
"East Asia and Pacific",2007,191144132,98400699,100,100,9.46527186286206,4.16101077330616,5.32642439886282,181122,82058,99064
"North America",2007,24463342,12452449,100,100,10.9539786710928,4.11880081709251,6.86344702521595,26813,10278,16535
"Eastern and Southern Africa",2007,43482229,23425345,100,100,32.0403759456433,13.5576404295486,18.73676179533,139825,63951,75874
"Eastern Europe and Central Asia",2007,35114648,17217891,100,100,15.3019088170157,5.28109171061494,10.074018924234,54485,18226,36259
"Western Europe",2007,29774864,14615354,99.99,99.99,6.40159317940359,2.4685109377519,3.94281512391063,19206,7232,11974
"West and Central Africa",2007,38141817,20497249,100,100,27.7735716964347,12.7333024894001,15.2342515400942,106706,52533,54173
"World",2007,616849458,318482358,100,100,15.151482257714,6.46756276813201,8.74044889140889,937179,413299,523880
"South Asia",2008,162898574,84893557,100,100,15.8787531922172,6.81637186998509,9.12457783793209,259129,116128,143001
"Sub-Saharan Africa",2008,83648494,44926911,100,100,29.8207001370905,13.0341406252255,17.0082474002688,250702,117880,132822
"Europe and Central Asia",2008,64291179,31094618,100,100,10.6222821888751,3.77115363435301,6.87706301570749,69327,23495,45832
"Middle East and North Africa",2008,41089384,20412891,100,100,12.1217848133736,5.41641820347426,6.74188347025329,50173,22187,27986
"Latin America and Caribbean",2008,53697319,27567524,100,100,18.8924405379813,7.43952443276901,11.5387589846021,101817,41170,60647
"East Asia and Pacific",2008,190275368,95632292,100,100,9.50656619518386,4.2137877817935,5.31517543469514,181695,80772,100923
"North America",2008,24623516,12546371,100,100,10.4966406895839,3.89432741950553,6.62812536040922,25844,9790,16054
"Eastern and Southern Africa",2008,44542852,23877474,100,100,31.9066073247144,13.4224647781978,18.7356207562146,142671,64529,78142
"Eastern Europe and Central Asia",2008,34589774,16566736,100,100,14.4437106430982,5.01133435823942,9.47988314899552,50995,16639,34356
"Western Europe",2008,29701405,14527882,99.99,99.99,6.12240647265905,2.35493594574228,3.77636362135279,18331,6856,11475
"West and Central Africa",2008,39105642,21049437,100,100,27.4317750743319,12.593460469226,15.0275636336753,108030,53351,54679
"World",2008,620523834,317074164,100,100,15.0604747717931,6.46664457854569,8.64976515016131,938673,411419,527254
"South Asia",2009,164834864,85745291,100,100,15.5114036456008,6.62001234894072,8.95064467493914,256116,113903,142213
"Sub-Saharan Africa",2009,85667345,45942983,100,100,29.0209212167702,12.7387975748163,16.4922146256302,249912,117797,132115
"Europe and Central Asia",2009,63480423,30266531,100,100,9.84017562692796,3.49951118986019,6.36293158735807,63637,21218,42419
"Middle East and North Africa",2009,41522294,20405020,100,100,12.0148617783512,5.393399232021,6.65736839190229,50302,22081,28221
"Latin America and Caribbean",2009,53885437,27597729,100,100,19.0998235993652,7.56429815875128,11.6234486720019,103378,41909,61469
"East Asia and Pacific",2009,189369318,92497281,100,100,9.07513555328199,3.97371961022697,5.12176841464325,173138,73651,99487
"North America",2009,24725646,12553946,100,100,9.88625529056941,3.60113483852659,6.30783581936756,24454,9057,15397
"Eastern and Southern Africa",2009,45570377,24326351,100,100,30.5526073455504,12.934201837752,17.8492715891898,139853,63334,76519
"Eastern Europe and Central Asia",2009,33937068,15908412,100,100,13.3087453511135,4.63895630820606,8.71019525814584,46357,14792,31565
"Western Europe",2009,29543355,14358119,99.99,99.99,5.79618597601417,2.23542232262258,3.56874129735136,17280,6426,10854
