CountryName,OfficialName,Code,ISO3Code,UNCode,UNICEFCode,MDGRegion1,MDGRegion1excl,MDGRegion2,MDGRegion3,MDGRegion4,MDGRegion5,MDGRegion6,UNICEFProgRegion1,UNICEFProgRegion2,UNICEFProgRegion3,UNICEFProgRegion4,UNICEFProgRegion5,UNICEFProgRegion6,ECACountries,WHORegion1,WBRegion1,WBRegion2,WBRegion3,WBRegion4,WBRegion5,UNPDRegion1,UNPDRegion2,UNPDRegion3,UNPDRegion4,UNPDRegion5,OICRegion1,OICRegion2,OICRegion3,OICRegion4,Countdown.and.COIA.75.Priority.Countries,ECAAfrica,AURegion1,AURegion2,FragileCountries2013,FragileCountries2014,FragileCountries2015,FragileCountries2017,FragileCountries2018,FragileCountries2018OECD1,FragileCountries2018OECD2,FragileCountries2019,FCSCountries2020,USAIDcountry,M49Region1,M49Region2,M49Region3,SDGSimpleRegion1,SDGSimpleRegion2,SDGSimpleRegion3,SDGSimpleRegion4,SDGSimpleRegion5,SDGSimpleRegion6,SDGRegion1,SDGRegion2,SDGRegion3,SDGRegion4,SDGRegion5,SDGRegion6,SDGRegion7,HAC2020,HAC2019,GlobalStrategy,Conflict,UNICEFReportRegion1,UNICEFReportRegion2,Wealthdata1,Wealthdata2,Wealthdata3,WealthdataGlobal,Wealthall1,Wealthall2,Wealthall3,WealthallGlobal,UNRegion,AfricanEconomicCommunity,GAVICountries,SDGRCRegion1,SDGRCRegion2,SDGRCRegion3,SDGRCRegion4,SDGRCRegion5,SDGRCRegion6,SDGRCRegion7,SDGRCRegion8,SDGRCRegion9,SDGRCRegion10,SDGRCRegion11,SDGRCRegion12,SDGRCRegion13,SDGRCRegion14,SDGRCRegion15,JHURegion,SPhumanitarian,JHUFragile2021,LiST_UNICEFProgramm,LiST_UNICEFReport,LiST_all,ListSBRESCAP,ListSBR,EAPRORegion1,EAPRORegion2,EAPRORegion3,EAPRORegion4,EAPRORegion5,EAPRORegion6,EAPRORegion7,EAPRORegion8,EAPRORegion9
Azerbaijan,Azerbaijan,138,AZE,31,AZE,Caucasus and Central Asia,Caucasus and Central Asia,Developing regions,,,,LLDC,CEE/CIS,CEE/CIS,,Developing countries,,,,Europe,Europe and Central Asia,Europe and Central Asia (excluding high-income),Middle income,Upper middle income,Low and middle income,Asia,,Less developed regions,Excluding least developed countries,Excluding China,OIC,Asia/other,OIC Upper middle income,OIC Middle income,Countdown,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Asia,Western Asia,,Western Asia and Northern Africa,Western Asia,,Landlocked developing countries (LLDCs),,,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49),Caucasus and Central Asia (MDG),,Landlocked developing countries (LLDCs),Developing regions (MDG),,,,Non conflict,Europe and Central Asia,Eastern Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Eastern European Group,,GAVI,,ECE_All countries,"ECE_Eastern Europe, Caucasus and Central Asia (CIS)",ECE_CIS (CWG),,ESCAP_ADB Group C (ADB_DMC_C),,ESCAP_ECO (ECO),,,ESCAP_LLDC (LLDC_E),ESCAP_North and Central Asia (NCA),ESCAP_All countries,,,Eastern Europe and Central Asia,Non-humanitarian,,Europe and Central Asia,Eastern Europe and Central Asia,LiST,LiSTSBR,LiSTSBR,,,,,,,,,
Bahamas,Bahamas,107,BHS,44,BAH,Latin America and the Caribbean,Latin America and the Caribbean,Developing regions,,,Caribbean,SIDS,Latin America and the Caribbean,Latin America and the Caribbean,,Developing countries,,,,Americas,Latin America and the Caribbean,,High income,High income,,Latin America and the Caribbean,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Americas,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,,,Small island developing States (SIDS),,,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49),Latin America and the Caribbean (MDG=M49),,Small island developing States (SIDS),Developing regions (MDG),,,,Non conflict,Latin America and Caribbean,,,,,,,,,,Latin American and Caribbean Group (GRULAC),,,,ECLAC_All countries,,,ECLAC_Carribean,,,,,,,,ESCAP_Latin America (LAC),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Bahrain,Bahrain,51,BHR,48,BRN,Western Asia,Western Asia,Developing regions,,,,SIDS,Middle East and North Africa,Middle East and North Africa,,Developing countries,,Middle East,,Eastern Mediterranean,Middle East and North Africa,,High income,High income,,Asia,,Less developed regions,Excluding least developed countries,Excluding China,OIC,Arab,OIC High income: nonOECD,OIC High income,,,,,,,,,,Non-fragile,,,non-FCS,,Asia,Western Asia,,Western Asia and Northern Africa,Western Asia,,,,,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49),Western Asia (MDG),,,Developing regions (MDG),,,,Non conflict,Middle East and North Africa,,,,,,,,,,Asia-Pacific Group,,,,,,,,,,,,,,,ESCAP_Other Area (OTH_REGION),ESCWA_All countries,ESCWA_Arab countries,Middle East and North Africa,Non-humanitarian,,,,,,,,,,,,,,,
Bangladesh,Bangladesh,68,BGD,50,BAN,Southern Asia,Southern Asia excluding India,Developing regions,,Least developed countries,,,South Asia,South Asia,Asia,Developing countries,Least developed countries,,,South-East Asia,South Asia,South Asia (excluding high-income),Middle income,Lower middle income,Low and middle income,Asia,,Less developed regions,Least developed countries,Excluding China,OIC,Asia/other,OIC Low income,,Countdown,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Fragile,Other Fragile,Non-fragile,non-FCS,USAID,Asia,Southern Asia,,Central Asia and Southern Asia,Southern Asia,Least developed countries (LDCs),,,,Central Asia (M49) and Southern Asia (MDG=M49),Asia (M49),Southern Asia (MDG=M49),Southern Asia (MDG=M49),Least developed countries (LDCs),,Developing regions (MDG),HAC,,Global Strategy,Non conflict,South Asia,,South Asia,,Lower middle income,Low and middle income,South Asia,,Lower middle income,Low and middle income,Asia-Pacific Group,,GAVI,,,,,,ESCAP_ADB Group B (ADB_DMC_B),ESCAP_SAARC (SAARC),,,ESCAP_LDC (LDC_E),,ESCAP_South and South-West Asia (SSWA),ESCAP_All countries,,,South Asia,Non-humanitarian,,South Asia,South Asia,LiST,LiSTSBR,LiSTSBR,,,,,,,,,
Barbados,Barbados,108,BRB,52,BAR,Latin America and the Caribbean,Latin America and the Caribbean,Developing regions,,,Caribbean,SIDS,Latin America and the Caribbean,Latin America and the Caribbean,,Developing countries,,,Eastern Caribbean Area,Americas,Latin America and the Caribbean,,High income,High income,,Latin America and the Caribbean,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Americas,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,,,Small island developing States (SIDS),,,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49),Latin America and the Caribbean (MDG=M49),,Small island developing States (SIDS),Developing regions (MDG),,,,Non conflict,Latin America and Caribbean,,,,,,,,,,Latin American and Caribbean Group (GRULAC),,,,ECLAC_All countries,,,ECLAC_Carribean,,,,,,,,ESCAP_Latin America (LAC),,,Latin America and Caribbean,Non-humanitarian,,,,,,,,,,,,,,,
Belarus,Belarus,148,BLR,112,BSR,Developed regions,Developed regions,Developed regions,,,,,CEE/CIS,CEE/CIS,,,,,,Europe,Europe and Central Asia,Europe and Central Asia (excluding high-income),Middle income,Upper middle income,Low and middle income,Europe,,More developed regions,More developed regions,,,,,,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Europe,Eastern Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Eastern Europe (M49),Developed regions (MDG),,,Developed regions,,,,Non conflict,Europe and Central Asia,Eastern Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Eastern European Group,,,,ECE_All countries,"ECE_Eastern Europe, Caucasus and Central Asia (CIS)",ECE_CIS (CWG),,,,,,,,,ESCAP_Europe (Europe),,,Eastern Europe and Central Asia,Non-humanitarian,,Europe and Central Asia,Eastern Europe and Central Asia,LiST,,LiSTSBR,,,,,,,,,
Belgium,Belgium,170,BEL,56,BEL,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Western Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Western European and Others Group (WEOG),,,,ECE_All countries,ECE_European Union (EMU),ECE_Euro area (E25),,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Belize,Belize,111,BLZ,84,BZE,Latin America and the Caribbean,Latin America and the Caribbean,Developing regions,,,Latin America,SIDS,Latin America and the Caribbean,Latin America and the Caribbean,,Developing countries,,,,Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Upper middle income,Low and middle income,Latin America and the Caribbean,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Americas,Latin America and the Caribbean,Central America,Latin America and the Caribbean,,,Small island developing States (SIDS),,,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Central America (M49),Latin America and the Caribbean (MDG=M49),,Small island developing States (SIDS),Developing regions (MDG),,,,Non conflict,Latin America and Caribbean,,Latin America and Caribbean,,Upper middle income,Low and middle income,Latin America and Caribbean,,Upper middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),,,,ECLAC_All countries,,,ECLAC_Carribean,,,,,,,,ESCAP_Latin America (LAC),,,Latin America and Caribbean,Non-humanitarian,,Latin America and the Caribbean,Latin America and Caribbean,LiST,,LiSTSBR,,,,,,,,,
Benin,Benin,23,BEN,204,BEN,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,West Africa,Least developed countries,,,West and Central Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Middle income,Lower middle income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,OIC,Africa,OIC Low income,,Countdown,West Africa,Africa,Western Africa,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Africa,Western Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),,,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),,Developing regions (MDG),,,Global Strategy,Non conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Lower middle income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Lower middle income,Low and middle income,African Group,Economic Community of West African States,GAVI,ECA_West Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,West and Central Africa,Non-humanitarian,,West and Central Africa,West and Central Africa,LiST,,LiSTSBR,,,,,,,,,
Bhutan,Bhutan,69,BTN,64,BTN,Southern Asia,Southern Asia excluding India,Developing regions,,Least developed countries,,LLDC,South Asia,South Asia,Asia,Developing countries,Least developed countries,,,South-East Asia,South Asia,South Asia (excluding high-income),Middle income,Lower middle income,Low and middle income,Asia,,Less developed regions,Least developed countries,Excluding China,,,,,Countdown,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Asia,Southern Asia,,Central Asia and Southern Asia,Southern Asia,Least developed countries (LDCs),Landlocked developing countries (LLDCs),,,Central Asia (M49) and Southern Asia (MDG=M49),Asia (M49),Southern Asia (MDG=M49),Southern Asia (MDG=M49),Least developed countries (LDCs),Landlocked developing countries (LLDCs),Developing regions (MDG),,,,Non conflict,South Asia,,South Asia,,Lower middle income,Low and middle income,South Asia,,Lower middle income,Low and middle income,Asia-Pacific Group,,,,,,,,ESCAP_ADB Group A (ADB_DMC_A),ESCAP_SAARC (SAARC),,,ESCAP_LDC (LDC_E),ESCAP_LLDC (LLDC_E),ESCAP_South and South-West Asia (SSWA),ESCAP_All countries,,,South Asia,Non-humanitarian,,South Asia,South Asia,LiST,LiSTSBR,LiSTSBR,,,,,,,,,
Bolivia,Bolivia (Plurinational State of),109,BOL,68,BOL,Latin America and the Caribbean,Latin America and the Caribbean,Developing regions,,,Latin America,LLDC,Latin America and the Caribbean,Latin America and the Caribbean,,Developing countries,,,,Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Lower middle income,Low and middle income,Latin America and the Caribbean,,Less developed regions,Excluding least developed countries,Excluding China,,,,,Countdown,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Americas,Latin America and the Caribbean,South America,Latin America and the Caribbean,,,Landlocked developing countries (LLDCs),,,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),South America (M49),Latin America and the Caribbean (MDG=M49),,Landlocked developing countries (LLDCs),Developing regions (MDG),,,,Non conflict,Latin America and Caribbean,,Latin America and Caribbean,,Lower middle income,Low and middle income,Latin America and Caribbean,,Lower middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),,GAVI,,ECLAC_All countries,,,ECLAC_Latin America,,,,,,,,ESCAP_Latin America (LAC),,,Latin America and Caribbean,Non-humanitarian,,Latin America and the Caribbean,Latin America and Caribbean,LiST,,LiSTSBR,,,,,,,,,
Bosnia & Herzegovina,Bosnia and Herzegovina,147,BIH,70,BHG,Developed regions,Developed regions,Developed regions,,,,,CEE/CIS,CEE/CIS,,,,,,Europe,Europe and Central Asia,Europe and Central Asia (excluding high-income),Middle income,Upper middle income,Low and middle income,Europe,,More developed regions,More developed regions,,,,,,,,,,Fragile,Fragile,Fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Europe,Southern Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49),Developed regions (MDG),,,Developed regions,HAC,HAC,,Non conflict,Europe and Central Asia,Eastern Europe and Central Asia,,,,,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Eastern European Group,,,,ECE_All countries,,ECE_West Balkans (ST7),,,,,,,,,ESCAP_Europe (Europe),,,Eastern Europe and Central Asia,Non-humanitarian,,Europe and Central Asia,Eastern Europe and Central Asia,LiST,,LiSTSBR,,,,,,,,,
